id	name sk	question sk	description sk	order sk	koef sk	name cs - vzor	question cs - vzor	description cs - vzor
1	Ochrana údajov	Mali by byť sprísnené spoločné právne predpisy EÚ na ochranu údajov.	Osobné údaje sú napr. údaje o zdravotnom stave, genetické vzorky alebo finančné údaje, informácie o obchodných transakciách alebo o vykonaných telefónických hovoroch a navštívených webových stránkach. Tieto údaje firmy používajú pre svoj ​​biznis alebo ich zhromažďuje polícia či tajné služby.	3	10	Ochrana dat	Měly by být zpřísněny společné právní předpisy EU na ochranu dat.	Osobní data jsou např. data o zdravotním stavu, genetické vzorky nebo finanční údaje, informace o obchodních transakcích nebo o provedených telefonních hovorech a navštívených webových stránkách. Tyto údaje firmy používají pro svůj business nebo je shromažďuje policie či tajné služby.
2	Minimálna mzda	V EÚ by sa mala zaviesť minimálna mzda, naviazaná na priemerný plat v jednotlivých štátoch EÚ.	Minimálna mzda je v EÚ v priemere zhruba 40% priemernej mzdy v danej krajine (najmenej 32% v SR, najviac 50% v Slovinsku a Grécku). V niektorých krajinách (napr. Švédsko) je minimálna mzda stanovená skôr sektorovo a nie celoštátne.	4		Minimální mzda	V EU by se měla zavést minimální mzda navázaná na průměrný plat v jednotlivých státech EU.	Minimální mzda je v EU v průměru zhruba 40 % průměrné mzdy v dané zemi (nejméně 32 % v ČR, nejvíce 50 % ve Slovinsku a Řecku; 37 % na Slovensku). V některých zemích (např. Švédsko) je minimální mzda stanovena spíše sektorově a ne celostátně. 
3	Legislatívna iniciatíva	Európsky parlament by mal mať právomoc iniciovať zákon bez nutnosti oslovenia Európskej komisie.	Európsky parlament na rozdiel od národného parlamentu nemôže predkladať sám nové zákony, len ich schvaľuje. Podľa zástancov posilňovania právomocí, Európsky parlament prispieva k posilňovaniu európskej demokracie a mal by mať väčšie právomoci. Kritici sa však obávajú, že národné parlamenty stratia časť svojich právomocí.			Legislativní iniciativa	Evropský parlament by měl mít pravomoc iniciovat zákon bez nutnosti oslovení Evropské komise.	Evropský parlament, na rozdíl od národního parlamentu, nemůže předkládat sám nové zákony, pouze je schvaluje. Dle zastánců posilování pravomocí Evropský parlament přispívá k posilování evropské demokracie a měl by mít větší pravomoci. Kritici se ale obávají, že národní parlamenty ztratí část svých pravomocí.
4	Emisie CO2	EÚ by mala vymedziť striktnejšie ciele k regulácií CO2.	V EÚ sú zavedené emisné kvóty pre energetické firmy, pomocou ktorých sa limitujú emisie skleníkového plynu CO2 (oxidu uhličitého), čo má zmierniť klimatické problémy. Niektorí ich kritizujú ako nedostatočné, kritici naopak upozorňujú, že takéto regulácie vedú k zvýšeniu cien energií.	7		Emise CO2	EU by měla vymezit striktnější cíle pro regulaci CO2.	V EU jsou zavedeny emisní povolenky pro energetické firmy, pomocí nichž se limitují emise skleníkového plynu CO2 (oxidu uhličitého), což má zmírnit klimatické problémy. Někteří je kritizují jako nedostatečné, kritici naopak upozorňují, že takové regulace vedou ke zvýšení cen energií.
5	Zákaz dotácií jadrovej energetiky	Štáty EÚ by mali mať zakázané dotovať jadrovú energetiku.	Zástancovia jadrovej energetiky poukazujú na vysokú efektivitu pri spaľovaní paliva a na veľmi nízke emisie CO2 oproti inej, napr. uhoľnej či plynovej energii. Kritici upozorňujú, že jadrová energia nie je finančne konkurencieschopná a predstavuje bezpečnostné riziko.	11		Zákaz dotací jaderné energetika 	Státy EU by měly mít zakázáno dotovat jadernou energetiku.	Zastánci jaderné energetiky poukazují na vysokou efektivitu při spalování paliva a na velice nízké emise CO2 oproti jiné, např. uhelné či plynové energii. Kritici upozorňují, že jaderná energie není finančně konkurenceschopná a představuje bezpečnostní riziko.
6	Geneticky upravené plodiny	Malo by byť povolené pestovať geneticky upravené plodiny v celej EÚ.	Zástancovia pestovania geneticky upravených plodín argumentujú, že tieto plodiny zvyšujú výnos,sú odolnejšie voči škodcom a nie je nutné ich toľko chemicky ošetrovať. Odporcovia sa obávajú zdravotných rizík, dopadu na životné prostredie a závislosti na producentoch takýchto plodín.	27		Geneticky upravené plodiny	Mělo by být povoleno pěstovat geneticky upravené plodiny v celé EU.	Zastánci pěstování geneticky upravených plodin argumentují, že tyto plodiny zvyšují výnos a jsou odolnější vůči škůdcům, není nutné je tolik chemicky ošetřovat. Odpůrci se obávají zdravotních rizik, dopadu na životní prostředí a závislosti na producentech takových plodin.
7	Dovozné clá	Dovozné clá na poľnohospodárske produkty z rozvojových krajín by mali byť znížené.	Zástancovia dovozných ciel argumentujú ochranou a podporou ekonomík členských štátov voči ostatným, aby nedošlo k zaplaveniu európskeho trhu lacnými poľnohospodárskymi výrobkami z rozvojových krajín. Kritici upozorňujú, že clá limitujú rozvoj krajín, ktorých významným obchodným artiklom sú práve poľnohospodárske produkty, a tiež, že dražejú potraviny pre zákazníkov v EÚ.			Dovozní cla	Dovozní cla na zemědělské produkty z rozvojových zemí by měla být snížena.	Zastánci dovozních cel argumentují ochranou a podporou ekonomik členských států vůči ostatním, aby nedošlo k zaplavení evropského trhu levnými zemědělskými produkty z rozvojových zemí. Kritici upozorňují, že cla limitují rozvoj zemí, jejichž důležitým obchodním artiklem jsou právě zemědělské produkty, a také, že zdražují potraviny pro zákazníky v EU.
8	Priama voľba predsedu Európskej komisie	Predseda Európskej komisie by mal byť volený v priamých voľbách občanmi EÚ.	Priama voľba predsedu komisie by podľa zástancov mala zvýšiť úroveň demokracie v EÚ a zvýšiť záujem občanov o EÚ. Jej kritici argumentujú, že priama voľba neprináša žiadne riešenie súčasných problémov, ani nezvyšuje dôveryhodnosť EÚ.			Přímá volba předsedy Evropské komise	Předseda Evropské komise by měl být volen v přímých volbách občany EU	Přímá volba předsedy komise by podle zastánců měla zvýšit úroveň demokracie v EU a zvýšit zájem občanů o EU. Její kritici argumentují, že přímá volba nepřináší žádné řešení současných problémů, ani nezvyšuje důvěryhodnost EU.
9	Minimálna sadzba  korporátnej dane	Mala by byť zavedená minimálna sadzba pre dane z príjmov u firiem v celej EÚ.	Daň z príjmov je v krajinách EÚ medzi 10% až 35%. Zástancovia minimálnej sadzby kritizujú existenciu daňových rajov vo vnútri EÚ (napríklad Cyprus), kde môžu firmy platiť dane namiesto platenia daní v krajine, kde zisk reálne vytvorili. Odporcovia upozorňujú na zdravú súťaživosť medzi jednotlivými krajinami.	8		Minimální sazba korporátní daně	Měla by být zavedena minimální sazba pro daně z příjmů u firem v celé EU.	Daně z příjmů je v EU mezi 10 % a 35 %. Zastánci minimální sazby kritizují existenci daňových rájů uvnitř EU (např. Kypr), kde mohou firmy platit daně namísto v zemi, kde zisk reálně vytvořili. Odpůrci upozorňují na zdravou soupeřivost mezi jednotlivými zeměmi. 
10	Nižšia finančná pomoc regiónom	Mala by sa znížiť finančná pomoc ekonomicky slabším regiónom EÚ.	Zhruba 1/3 rozpočtu EÚ ide na regionálnu politiku. Hlavným cieľom je podpora ekonomicky slabších regiónov EÚ, medzi ktoré sa radí celé Slovensko okrem Bratislavy.	28		Nižší finanční pomoc regionům	Měla by se snížit finanční pomoc ekonomicky slabším regionům EU.	Zhruba 1/3 rozpočtu EU jde na regionální politiku. Hlavním cílem je podpora ekonomicky slabších regionů v EU, mezi něž se řadí celé Slovensko mimo Bratislavu.
