id	name sk	question sk	description sk	order	name cs	question cs	description cs
1	Drahšie emisné povolenky 	Mali by byť povolenky pre európsky trh s emisnými povolenkami drahšie? 	Emisné povolenky fungujú od roku 2005 a slúžia k znižovaniu produkcie škodlivých látok. Štát kontroluje znečistenie tým, že poskytuje výhody firmám, ktoré znižujú emisie. Emisné povolenky sú predávané za trhové ceny a ich priemerná cena v 4. kvartáli v roku 2013 bola 125 Kč za tonu CO2. 	1	Dražší emisní povolenky	Měly by být povolenky pro evropský trh s emisními povolenkami dražší?	Emisní povolenky fungují od roku 2005 a slouží ke snižování produkce škodlivých látek. Stát kontroluje znečištěni tím, že poskytuje výhody firmám, jež snižují emise. Emisní povolenky jsou prodávány za tržní ceny a jejich průměrná cena ve 4. kvartálu roku 2013 byla 125 Kč za tunu CO2.
2	Údaje o cestujúcich do USA	Mali by byť údaje o európskych cestujúcich v leteckej doprave naďalej vydávané do USA? 	Od roku 2004 sú leteckými spoločnosťami vydávané údaje o cestujúcich, ktorí cestujú do USA a to 72 hodín pred odletom. Toto opatrenie bolo zavedené z bezpečnostných dôvodov a údaje by mali byť uchovávané po dobu piatich rokov. 	2	Údaje o cestujících do USA	Měly by být údaje o evropských cestujících v letecké dopravě nadále vydávány do USA?	Od roku 2004 jsou leteckými společnosti vydávány údaje o cestujících, kteří cestují do USA a to 72 hodin před odletem. Toto opatření bylo zavedeno z bezpečnostních důvodů a údaje by měly být uchovávány po dobu pěti let.
3	Prísnejšie limity dopravného hluku	Mali by byť zavedené prísnejšie limity škodlivého dopravného hluku? 	Návrh znižuje existujúce limity dopravného hluku pre jednotlivé kategórie vozidiel s výnimkou najsilnejších nákladných vozidiel. Napr. u bežných vozidiel zo 74db na 68db. 	3	Přísnější limity dopravního hluku	Měly by být zavedeny přísnější limity škodlivého dopravního hluku?	Návrh snižuje existující limity dopravního hluku pro jednotlivé kategorie vozidel s výjimkou nejsilnějších nákladních vozů. Například u běžných vozů ze 74db na 68db.
4	Ťažba bridlicového plynu a oleja	Mala by každá krajina EÚ sama rozhodovať o ťažbe bridlicového plynu a oleja? 	Bridlicový plyn je zdrojom zemného plynu nahromadeného vo formáciáchh bridlíc a bridlicový olej je možné využívať ako palivo. Ťažba bridlicového plynu a oleja býva kritizovaná pre ekologické riziká. 	4	Těžba břidlicového plynu a oleje	Měla by každá země EU sama rozhodovat o těžbě břidlicového plynu a oleje?	Břidlicový plyn je zdrojem zemního plynu nahromaděného ve formacích břidlic a břidlicový olej lze využívat jako palivo. Těžba břidlicového plynu a oleje bývá kritizována pro ekologická rizika.
5	Viac peňazí 2014 - 2020	Malo by byť do európskeho rozpočtu vložených viac peňazí? 	V súčasnom rámci platnom pre roky 2014 - 2020 bol stanovený objem európskeho rozpočtu 960 miliárd EUR. Celkovo je to o 3.5% menej než u predchádzajúceho rozpočtového rámca Európskej únie. 	5	Více peněz 2014-2020	Mělo by být do evropského rozpočtu vloženo více peněz?	V současném rámci platícím pro roky 2014 - 2020 byl stanoven objem evropského rozpočtu 960 miliard EUR. Celkově je to o 3.5% méně než u předchozího rozpočtového rámce Evropské unie.
6	Celoeurópske pravidlá technickej kontroly	Ste za celoeurópske pravidlá technickej kontroly vozidiel? 	Podstatou návrhu je stanovenie spoločných minimálnych noriem pre technické kontroly platné v celej EÚ, pričom členské štáty majú mať možnosť stanoviť vo vhodných prípadoch prísnejšie pravidlá nad rámec smernice. 	6	Celoevropská pravidla technické kontroly	Jste pro celoevropská pravidla technické kontroly vozidel?	Podstatou návrhu je stanovení společných minimálních norem pro technické kontroly platných v celé EU, přičemž členské státy mají mít možnost stanovit ve vhodných případech přísnější pravidla nad rámec směrnice.
7	Daň z finančných transakcií 	Súhlasíte so zavedením dane z finančných transakcií? 	Cieľom dane je odstránenie nedostatočného zdanenia finančného sektoru, ktorý je na rozdiel od iných hospodárskych odvetví oslobodený od DPH a mal by sa taktiež spravodlivejším spôsobom podieľať na nákladoch spojených s krízou. Sadzba dane by mala byť 0,1% pri obchode s akciami a dlhopismi a 0,01% pri obchode s finančnými derivátmi. 	7	Daň z finančních transakcí	Souhlasíte se zavedením daně z finančních transakcí?	Cílem daně je odstranění nedostatečného zdanění finančního sektoru, který je na rozdíl od jiných hospodářských odvětví osvobozen od DPH a měl by se také spravedlivějším způsobem podílet na nákladech spojených s krizí. Sazba daně by měla být 0,1% u obchodu s akciemi a dluhopisy a 0,01% u obchodu s finančními deriváty.
8	Zákonné kvóty pre ženy	Mali by byť zavedené kvóty pre ženy v predstavenstvách a dozorných radách? 	Kvóty sa týkajú iba firiem kótovaných na burze s obratom nad 50 mil. EUR ročne a počtom zamestnancov nad 250. Je stanovený cieľ, aby sa podiel žien v predstavenstvách a dozorných radách firiem zvýšil na 30% do roku 2015 a na 40% do roku 2020. U štátnych firiem je 40% hranica stanovená na rok 2018. 	8	Zákonné kvóty pro ženy	Měly by být zavedeny kvóty pro ženy v představenstvech a dozorčích radách?	Kvóty se týkají pouze firem kotovaných na burze s obratem nad 50 mil EUR ročně a počtem zaměstanců nad 250. Je stanoven cíl, aby se podíl žen v představenstvech a dozorčích radách firem zvýšil na 30% do roku 2015 a na 40% do roku 2020. U státních firem je 40% hranice stanovena na rok 2018.
9	Regulácia geneticky modifikovaných rastlín	Malo by byť pestovanie geneticky modifikovaných rastlín silnejšie regulované? 	Geneticky modifikované potraviny sú prevažne určené ku kŕmeniu hospodárskych zvierat. EÚ má zoznam techník na výrobu geneticky modifikovaných potravín a podľa neho rozhoduje či výrobu povolí, či nie. Nehľadí teda na vlastnosti vzniknutých plodín. 	9	Regulace geneticky modifikovaných rostlin	Mělo by být pěstování geneticky modifikovaných rostlin silněji regulováno?	Geneticky modifikované potraviny jsou převážně určené ke krmení hospodářských zvířat. EU má seznam technik pro výrobu geneticky modifikovaných potravin a podle něho rozhoduje, zda výrobu povolí či nikoliv. Nehledí tudíž tedy na vlastnosti vzniklých plodin.
10	Jednotný bankový dohľad	Mal by v Európe fungovať jednotný bankový dohľad? 	Tento návrh zavádza nový systém finančného dohľadu nad najväčším bankami v eurozóne. Dohľad bude namiesto jednotlivých národných bánk vykonávať priamo Európska centrálna banka. 	10	Jednotný bankovní dohled	Měl by v Evropě fungovat jednotný bankovní dohled?	Tento návrh zavádí nový systém finančního dohledu nad největšími bankami v eurozóně. Dohled bude namísto jednotlivých národních bank provádět přímo Evropská centrální banka.
11	Chorvátsko do EÚ	Súhlasíte so vstupom Chorvátska do EÚ? 	Chorvátsko vstúpilo do EÚ 1.7.2013 po ôsmich rokoch od zahájenia prístupových jednaní a stalo sa tak 28. členskou krajinou EÚ. 	11	Chorvatsko do EU	Souhlasíte se vstupem Chorvatska do EU?	Chorvatsko vstoupilo do EU 1. 7. 2013 po osmi letech od zahájení přístupových jednání a stalo se tak 28. členskou zemí EU.
12	Občianska iniciatíva	Stačí jeden milión podpisov k vyžiadaniu európskeho zákona? 		12	Občanská iniciativa	Stačí jeden milion podpisů k vyžádání evropského zákona?	
13	ACTA	Mala by byť schválená protipirátska dohoda ACTA? 	ACTA je medzinárodná obchodná dohoda s trestnoprávnymi prvkami, ktorej účelom je vytvorenie medzinárodného systému pre zaistenie ochrany práv duševného vlastníctva. Zahrňuje ako falšovanie hmotného tovaru, tak i internetové informačné a distribučné technológie. 	13	ACTA	Měla by být schválena protipirátská dohoda ACTA?	ACTA je mezinárodní obchodní dohoda s trestněprávními prvky, jejímž účelem je vytvoření mezinárodního systému pro zajištění ochrany práv duševního vlastnictví. Zahrnuje jak padělání hmotného zboží, tak i internetové informační a distribuční technologie.
14	Detská výživa	Mal by byť u reklamy na detskú výživu zrušený odkaz na konkrétny efekt? 	Jedná a o zákaz umiestňovania fotografií kojencov a podobných grafík, ktoré by mohli pozitívne skresľovať názor na užitočnosť detských výživ a ich vplyv na zdravie a vývoj dieťaťa. 	14	Dětská výživa	Měl by být u reklamy na dětskou výživu zrušen odkaz na konkrétní efekt?	Jedná se o zákaz umisťování fotografií kojenců a podobných grafik, které by mohly pozitivně zkreslovat názor na užitečnost dětských výživ a jejich vliv na zdraví a vývoj dítěte.
15	Veto mäsovému lepidlu	Vetujete schválenie mäsového lepidla ako potravinového doplnku? 	Lepidlo je vyrobené z hovädzej a bravčovej krvi. Slúži k zlepeniu odrezkov a zvyškov mäsa, ktoré by sa za bežných okolností vyhodili. 	15	Veto masovému lepidlu	Vetujete schválení masového lepidla jako potravinového doplňku?	Lepidlo je vyrobeno z hovězí a vepřové krve. Slouží ke slepení odřezků a zbytků masa, které by se za běžných okolností vyhodily.
16	Roaming	Mali by byť poplatky za roaming jednotne obmedzené? 	Roaming je poskytovanie telekomunikačných služieb účastníkovi v inej krajine, než kde má zaregistrované telekomunikačné služby. EÚ stanovuje maximálne limity pre hlasové a dátové služby  v roamingu. 	16	Roaming	Měly by být poplatky za roaming jednotně omezeny?	Roaming je poskytování telekomunikačních služeb účastníkovi v jiné zemi, než kde má zaregistrované telekomunikační služby. EU stanovuje maximální limity pro hlasové a datové služby v roamingu.
17	Dohľad EÚ nad rozpočtami 	Mala by EÚ dohliadať na rozpočty členských štátov EÚ? 	Na základe tohto návrhu musia členské štáty eurozóny predkladať návrhy svojich národných rozpočtov k posúdeniu Európskej komisii, ktorá v nich môže navrhnúť úpravy. 	17	Dohled EU nad rozpočty	Měla by EU dohlížet na rozpočty členských států EU?	Na základě tohoto návrhu musí členské státy eurozóny předkládat návrhy svých národních rozpočtů k posouzení Evropské komisi, která v nich může navrhnout úpravy.
18	Sprísnenie tabakových výrobkov	Súhlasíte s tým, aby boli predpisy pre tabakový priemysel sprísnené? 	Toto opatrenie zakazuje výrobu a predaj cigariet s príchuťami (napríklad mentol alebo čokoláda) a nariaďuje umiestnenie varovných obrázkov na obaly cigariet. 	18	Zpřísnění tabákových výrobků	Souhlasíte s tím, aby byly předpisy pro tabákový průmysl zpřísněny?	Toto opatření zakazuje výrobu a prodej cigaret s příchutěmi (například mentol nebo čokoláda) a nařizuje umístění varovných obrázků na obaly cigaret.
19	Zníženie limitov CO2 pre autá	Mali by byť u nových vozidiel znížené emisie CO2?	Automobilová doprava vytvorí približne pätinu všetkých emisií a ich produkcia sa neustále zvyšuje. Emisie nových vozidiel nesmú v roku 2020 presiahnuť 95g CO2/km. Tento návrh zavádza mechanizmy, bez ktorých by tento cieľ do roku 2020 nemohol byť dosiahnutý. 	19	Snížení limitů CO2 pro auta	Měly by být u nových vozů sníženy emise CO2?	Automobilová doprava vytvoří přibližně pětinu všech emisí a jejich produkce se neustále zvyšuje. Emise nových vozů nesmějí v roce 2020 přesáhnout 95g CO2/km. Tento návrh zavádí mechanizmy, bez nichž tohoto cíle do roku 2020 nemohlo být dosaženo.
20	Pomoc EÚ chudobným 	Súhlasíte s pomocou EÚ chudobou silne postihnutým občanom EÚ? 	EÚ plánuje vytvoriť Fond európskej pomoci najchudobnejším osobám s navrhnutým rozpočtom na obdobie 2014 - 2020 vo výške 2,5 miliárd EUR. Fond by sa zameral na najchudobnejšie osoby alebo domácnosti a poskytoval by podporu i osobám bez domova alebo deťom. 	20	Pomoc EU chudým	Souhlasíte s pomocí EU chudobou silně postiženým občanům EU?	EU plánuje vytvořit Fond evropské pomoci nejchudším osobám s navrženým rozpočtem na období 2014–2020 ve výši 2,5 miliard EUR. Fond by se zaměřil na nejchudší osoby nebo domácnosti a poskytoval by podporu i osobám bez domova nebo dětem.
21	Značenie potravín 	Mali by byť potraviny pre spotrebiteľov jasnejšie označované? 	Na potravinách by malo byť jasne uvedené, odkiaľ pochádzajú, aká je ich hlavná zložka a aký je podiel jednotlivých zložiek. Všetky povinné údaje by mali byť zobrazené písmenom o veľkosti minimálne 3 mm. 	21	Značení potravin	Měly by být potraviny pro spotřebitele jasněji značeny?	Na potravinách by mělo být jasně uvedeno, odkud pocházejí, jaká je jejich hlavní složka a jaký je podíl jednotlivých složek. Všechny povinné údaje by měly být zobrazeny písmem o velikosti minimálně 3 mm.
22	Jednotné VŠ štandardy	Mali by byť v EÚ jednotné vysokoškolské štandardy? 	Tzv. Boloňský proces začatý v roku 1999 má za cieľ postupné približovanie vysokoškolských štandardov v členských krajinách EÚ, čo má uľahčiť vzájomné uznávanie diplomov a študentskú mobilitu. Harmonizácia však v súčasnosti nepostupuje dostatočne rýchlo. Európsky parlament požadoval zavedenie jednotných európskych štandardov. 	22	Jednotné VŠ standardy	Měly by být v EU jednotné vysokoškolské standardy?	Tzv. Boloňský proces započatý v roce 1999 má za cíl postupné přibližování vysokoškolských standardů v členských zemích EU, což má usnadnit vzájemné uznávání diplomů a studentskou mobilitu. Harmonizace však v současnosti nepostupuje dostatečně rychle. Evropský parlament požadoval zavedení jednotných evropských standardů.
23	Investície do zamestnávania mladých 	Mali by byť investície do zamestnávania mladých ľudí vyňaté z pravidiel pre rozpočtové schodky? 	Nezamestnanosť mladých je veľkým problémom v mnohých členských krajinách EÚ. Striktné pravidlá rozpočtovej disciplíny však často znemožňujú členským štátom investovať do vytvárania nových pracovných miest, vzdelávania a rekvalifikácie. 	23	Investice do zaměstnání mladých	Měly by být investice do zaměstnání mladých lidí vyňaty z pravidel pro rozpočtové schodky?	Nezaměstnanost mladých je velkým problémem v mnoha členských zemích EU. Striktní pravidla rozpočtové disciplíny ovšem často znemožňují členským státům investovat do vytváření nových pracovních míst, vzdělávání a rekvalifikace.
